txtno,portid,portdate,opening,high,low,closing,bid,offer,volume,valuess
"5993868","BBCA","2025-10-03","7525.000","7550.000","7500.000","7525.000","7500.000","7525.000","76787500","577404602500"
"5826287","BBRI","2025-01-02","4100.000","4220.000","4090.000","4210.000","4200.000","4210.000","181361700","754617890000"
"5826604","BBRI","2025-01-03","4220.000","4240.000","4150.000","4150.000","4150.000","4160.000","134632300","564592520000"
"5827648","BBRI","2025-01-06","4180.000","4180.000","4100.000","4100.000","4100.000","4110.000","153048700","629884289000"
"5828488","BBRI","2025-01-07","4080.000","4090.000","4030.000","4030.000","4030.000","4040.000","171997400","696938514000"
"5830027","BBRI","2025-01-08","4030.000","4100.000","4030.000","4080.000","4070.000","4080.000","133655700","543123219000"
"5830436","BBRI","2025-01-09","4070.000","4100.000","4030.000","4030.000","4030.000","4040.000","99300400","402709435000"
"5831404","BBRI","2025-01-10","4030.000","4060.000","4010.000","4010.000","4010.000","4020.000","132774300","535210554000"
"5832204","BBRI","2025-01-13","3990.000","3990.000","3850.000","3850.000","3850.000","3860.000","413408100","1616563861000"
"5833273","BBRI","2025-01-14","3820.000","3920.000","3800.000","3800.000","3800.000","3810.000","293621700","1127538152000"
"5834941","BBRI","2025-01-15","3840.000","4090.000","3840.000","4090.000","4080.000","4090.000","407813500","1620895921000"
"5835783","BBRI","2025-01-16","4210.000","4240.000","4130.000","4160.000","4160.000","4170.000","349387500","1463928896000"
"5836107","BBRI","2025-01-17","4150.000","4190.000","4080.000","4090.000","4090.000","4100.000","268758600","1107529813000"
"5837754","BBRI","2025-01-20","4130.000","4220.000","4130.000","4220.000","4210.000","4220.000","167348600","699037899000"
"5838619","BBRI","2025-01-21","4270.000","4380.000","4250.000","4260.000","4260.000","4270.000","345223800","1486689125000"
"5839141","BBRI","2025-01-22","4310.000","4320.000","4230.000","4260.000","4260.000","4270.000","193218900","825859336000"
"5840538","BBRI","2025-01-23","4260.000","4340.000","4260.000","4300.000","4300.000","4310.000","216018100","930402366000"
"5840836","BBRI","2025-01-24","4350.000","4350.000","4190.000","4190.000","4190.000","4200.000","276421900","1175373360000"
"5841910","BBRI","2025-01-30","4130.000","4170.000","4090.000","4120.000","4120.000","4130.000","220222400","907344381000"
"5843441","BBRI","2025-01-31","4170.000","4280.000","4150.000","4220.000","4220.000","4230.000","192622700","813382570000"
"5844393","BBRI","2025-02-03","4200.000","4270.000","4150.000","4250.000","4240.000","4250.000","220285800","925365874000"
"5845160","BBRI","2025-02-04","4260.000","4300.000","4200.000","4260.000","4250.000","4260.000","231917500","985621789000"
"5845585","BBRI","2025-02-05","4250.000","4250.000","4140.000","4140.000","4140.000","4150.000","209834400","874668094000"
"5846547","BBRI","2025-02-06","4120.000","4160.000","3940.000","3970.000","3960.000","3970.000","378545500","1524657784000"
"5848258","BBRI","2025-02-07","3970.000","4030.000","3940.000","4030.000","4020.000","4030.000","259636200","1037731489000"
"5848657","BBRI","2025-02-10","4000.000","4050.000","3950.000","3970.000","3970.000","3980.000","201999400","804576964000"
"5850159","BBRI","2025-02-11","3970.000","4040.000","3900.000","4010.000","4000.000","4010.000","276382800","1100512534000"
"5850874","BBRI","2025-02-12","3960.000","4060.000","3950.000","4030.000","4030.000","4040.000","362571900","1455976798000"
"5851430","BBRI","2025-02-13","4000.000","4030.000","3960.000","3990.000","3980.000","3990.000","341640600","1361479582000"
"5852261","BBRI","2025-02-14","4000.000","4010.000","3850.000","3860.000","3860.000","3870.000","524909600","2053210652000"
"5853991","BBRI","2025-02-17","3870.000","4030.000","3870.000","4030.000","4020.000","4030.000","265737100","1056339039000"
"5854933","BBRI","2025-02-18","4030.000","4180.000","4030.000","4150.000","4140.000","4150.000","374350700","1541722079000"
"5855144","BBRI","2025-02-19","4160.000","4180.000","4010.000","4020.000","4020.000","4030.000","348358600","1422709277000"
"5856127","BBRI","2025-02-20","3970.000","4020.000","3910.000","3910.000","3910.000","3920.000","312753300","1231538264000"
"5857268","BBRI","2025-02-21","3910.000","3930.000","3870.000","3890.000","3890.000","3900.000","205268800","801132408000"
"5858662","BBRI","2025-02-24","3900.000","3940.000","3870.000","3920.000","3910.000","3920.000","138610800","541268666000"
"5859090","BBRI","2025-02-25","3880.000","3920.000","3800.000","3800.000","3800.000","3810.000","404555100","1548485939000"
"5860559","BBRI","2025-02-26","3800.000","3860.000","3760.000","3820.000","3810.000","3820.000","242834100","923414252000"
"5860869","BBRI","2025-02-27","3790.000","3800.000","3610.000","3630.000","3630.000","3640.000","410928000","1516903627000"
"5861845","BBRI","2025-02-28","3500.000","3540.000","3360.000","3360.000","3360.000","3370.000","1000597600","3421684615000"
"5863625","BBRI","2025-03-03","3520.000","3740.000","3470.000","3670.000","3670.000","3680.000","744626800","2685011828000"
"5864248","BBRI","2025-03-04","3680.000","3720.000","3600.000","3670.000","3670.000","3680.000","338434700","1238466345000"
"5865485","BBRI","2025-03-05","3710.000","3900.000","3710.000","3840.000","3840.000","3850.000","441151000","1691151535000"
"5866366","BBRI","2025-03-06","3870.000","3990.000","3870.000","3950.000","3950.000","3960.000","434485100","1716629823000"
"5866584","BBRI","2025-03-07","3930.000","3930.000","3810.000","3810.000","3810.000","3820.000","243793600","941219074000"
"5867749","BBRI","2025-03-10","3790.000","3810.000","3730.000","3760.000","3750.000","3760.000","232192200","873920509000"
"5869241","BBRI","2025-03-11","3700.000","3790.000","3660.000","3790.000","3790.000","3800.000","273961800","1022280351000"
"5870250","BBRI","2025-03-12","3810.000","3920.000","3810.000","3890.000","3890.000","3900.000","271631200","1052298124000"
"5870486","BBRI","2025-03-13","3960.000","3970.000","3800.000","3800.000","3800.000","3810.000","209225800","806613081000"
"5871592","BBRI","2025-03-14","3750.000","3840.000","3750.000","3750.000","3750.000","3760.000","156131900","589533897000"
"5873080","BBRI","2025-03-17","3780.000","3840.000","3730.000","3830.000","3830.000","3840.000","162467700","614450175000"
"5873462","BBRI","2025-03-18","3840.000","3860.000","3500.000","3680.000","3680.000","3690.000","416894600","1538357782000"
"5874843","BBRI","2025-03-19","3710.000","3780.000","3680.000","3710.000","3710.000","3720.000","352217700","1310081389000"
"5875342","BBRI","2025-03-20","3730.000","3760.000","3640.000","3660.000","3660.000","3670.000","313033000","1152576565000"
"5876970","BBRI","2025-03-21","3600.000","3700.000","3550.000","3700.000","3690.000","3700.000","627645600","2282412500000"
"5877390","BBRI","2025-03-24","3650.000","3740.000","3520.000","3610.000","3610.000","3620.000","342883200","1252277186000"
"5878921","BBRI","2025-03-25","3660.000","3840.000","3660.000","3800.000","3800.000","3810.000","331285900","1236798990000"
"5879812","BBRI","2025-03-26","3870.000","4020.000","3860.000","4000.000","4000.000","4010.000","540888800","2146954515000"
"5880638","BBRI","2025-03-27","4000.000","4050.000","3930.000","4050.000","4050.000","4060.000","322553200","1292786804000"
"5881065","BBRI","2025-04-08","3460.000","3750.000","3450.000","3640.000","3640.000","3650.000","734807100","2661987976000"
"5882189","BBRI","2025-04-09","3610.000","3710.000","3600.000","3630.000","3630.000","3640.000","366649900","1335561156000"
"5883549","BBRI","2025-04-10","3920.000","3930.000","3770.000","3800.000","3800.000","3810.000","417562900","1594629931000"
"5883829","BBRI","2025-04-11","3600.000","3650.000","3590.000","3630.000","3630.000","3640.000","301274200","1092064335000"
"5885314","BBRI","2025-04-14","3630.000","3690.000","3620.000","3690.000","3690.000","3700.000","169458300","619754670000"
"5886220","BBRI","2025-04-15","3730.000","3780.000","3680.000","3690.000","3680.000","3690.000","254228400","944845305000"
"5886916","BBRI","2025-04-16","3690.000","3700.000","3600.000","3650.000","3640.000","3650.000","233821600","852960064000"
"5887895","BBRI","2025-04-17","3670.000","3670.000","3610.000","3640.000","3630.000","3640.000","121059300","440169046000"
"5888872","BBRI","2025-04-21","3620.000","3660.000","3570.000","3620.000","3610.000","3620.000","107470200","387441406000"
"5890111","BBRI","2025-04-22","3600.000","3650.000","3600.000","3630.000","3630.000","3640.000","147116900","534134547000"
"5891341","BBRI","2025-04-23","3660.000","3790.000","3640.000","3760.000","3760.000","3770.000","432999900","1612109911000"
"5891698","BBRI","2025-04-24","3790.000","3840.000","3720.000","3730.000","3720.000","3730.000","272537300","1029410794000"
"5892952","BBRI","2025-04-25","3770.000","3790.000","3730.000","3740.000","3740.000","3750.000","136517100","513050497000"
"5894169","BBRI","2025-04-28","3790.000","3850.000","3780.000","3840.000","3830.000","3840.000","212945800","812330856000"
"5894899","BBRI","2025-04-29","3860.000","3870.000","3820.000","3850.000","3840.000","3850.000","160631400","616979614000"
"5895912","BBRI","2025-04-30","3810.000","3850.000","3770.000","3850.000","3840.000","3850.000","226832200","867363329000"
"5896949","BBRI","2025-05-02","3920.000","3920.000","3850.000","3880.000","3870.000","3880.000","205628100","798216163000"
"5897470","BBRI","2025-05-05","3900.000","3920.000","3860.000","3860.000","3860.000","3870.000","196917100","765089833000"
"5898815","BBRI","2025-05-06","3840.000","3900.000","3840.000","3880.000","3880.000","3890.000","111333800","432134807000"
"5899832","BBRI","2025-05-07","3900.000","3910.000","3870.000","3910.000","3900.000","3910.000","119763100","466279151000"
"5900210","BBRI","2025-05-08","3910.000","3960.000","3780.000","3790.000","3790.000","3800.000","224121900","861956553000"
"5901858","BBRI","2025-05-09","3810.000","3840.000","3760.000","3840.000","3830.000","3840.000","147638100","561981728000"
"5902925","BBRI","2025-05-14","4000.000","4090.000","3960.000","4090.000","4080.000","4090.000","461642400","1855316991000"
"5903844","BBRI","2025-05-15","4140.000","4310.000","4130.000","4270.000","4260.000","4270.000","537151700","2283197366000"
"5904228","BBRI","2025-05-16","4310.000","4330.000","4160.000","4250.000","4240.000","4250.000","289337600","1223554936000"
"5905122","BBRI","2025-05-19","4230.000","4260.000","4200.000","4230.000","4230.000","4240.000","145935500","617671364000"
"5906244","BBRI","2025-05-20","4230.000","4280.000","4170.000","4210.000","4210.000","4220.000","209576900","886857558000"
"5907539","BBRI","2025-05-21","4210.000","4310.000","4210.000","4260.000","4260.000","4270.000","256020200","1091214227000"
"5908517","BBRI","2025-05-22","4280.000","4310.000","4240.000","4300.000","4290.000","4300.000","208291800","893272040000"
"5909534","BBRI","2025-05-23","4370.000","4370.000","4330.000","4350.000","4340.000","4350.000","187464400","815702622000"
"5910073","BBRI","2025-05-26","4350.000","4350.000","4260.000","4320.000","4310.000","4320.000","149418600","641461109000"
"5911438","BBRI","2025-05-27","4320.000","4370.000","4280.000","4370.000","4360.000","4370.000","180028000","779409835000"
"5912473","BBRI","2025-05-28","4360.000","4450.000","4320.000","4450.000","4420.000","4450.000","466133500","2056293839000"
"5912648","BBRI","2025-06-02","4360.000","4390.000","4200.000","4200.000","4200.000","4210.000","389541100","1663365026000"
"5914207","BBRI","2025-06-03","4210.000","4230.000","4120.000","4200.000","4200.000","4210.000","277902300","1164762925000"
"5914605","BBRI","2025-06-04","4230.000","4230.000","4080.000","4080.000","4080.000","4090.000","279755300","1156073405000"
"5916165","BBRI","2025-06-05","4110.000","4140.000","4050.000","4100.000","4090.000","4100.000","230129500","939543851000"
"5917144","BBRI","2025-06-10","4100.000","4160.000","4100.000","4150.000","4140.000","4150.000","179827500","743278316000"
"5917503","BBRI","2025-06-11","4130.000","4140.000","4060.000","4070.000","4070.000","4080.000","196558700","803329142000"
"5918924","BBRI","2025-06-12","4070.000","4100.000","4060.000","4070.000","4070.000","4080.000","113850500","463395040000"
"5919505","BBRI","2025-06-13","4020.000","4050.000","3980.000","4000.000","3990.000","4000.000","283826000","1138140938000"
"5920685","BBRI","2025-06-16","3980.000","4010.000","3960.000","3990.000","3980.000","3990.000","155450700","619029790000"
"5921494","BBRI","2025-06-17","4010.000","4030.000","3960.000","3960.000","3960.000","3970.000","125769400","501363250000"
"5922551","BBRI","2025-06-18","3950.000","3960.000","3900.000","3940.000","3930.000","3940.000","140882100","553150403000"
"5923378","BBRI","2025-06-19","3900.000","3920.000","3800.000","3800.000","3800.000","3810.000","355413000","1363411133000"
"5924526","BBRI","2025-06-20","3740.000","3840.000","3740.000","3790.000","3790.000","3800.000","516177900","1955151380000"
"5925472","BBRI","2025-06-23","3730.000","3750.000","3660.000","3720.000","3720.000","3730.000","222067700","825431870000"
"5926691","BBRI","2025-06-24","3820.000","3900.000","3770.000","3780.000","3770.000","3780.000","281594300","1074469283000"
"5927385","BBRI","2025-06-25","3830.000","3830.000","3730.000","3760.000","3760.000","3770.000","164257700","620131501000"
"5928754","BBRI","2025-06-26","3780.000","3830.000","3750.000","3830.000","3820.000","3830.000","171427000","649271626000"
"5929019","BBRI","2025-06-30","3840.000","3840.000","3730.000","3740.000","3740.000","3750.000","271933200","1022426301000"
"5930154","BBRI","2025-07-01","3780.000","3790.000","3670.000","3700.000","3690.000","3700.000","212369000","788704492000"
"5931219","BBRI","2025-07-02","3650.000","3700.000","3640.000","3680.000","3670.000","3680.000","220273500","807060195000"
"5932167","BBRI","2025-07-03","3710.000","3730.000","3680.000","3680.000","3680.000","3690.000","119674300","442095032000"
"5933108","BBRI","2025-07-04","3680.000","3710.000","3650.000","3670.000","3660.000","3670.000","91141200","334642149000"
"5934491","BBRI","2025-07-07","3670.000","3700.000","3650.000","3700.000","3690.000","3700.000","78783800","290410177000"
"5934944","BBRI","2025-07-08","3690.000","3700.000","3650.000","3670.000","3660.000","3670.000","115551200","424223615000"
"5936254","BBRI","2025-07-09","3650.000","3700.000","3650.000","3680.000","3680.000","3690.000","92437900","339943292000"
"5937535","BBRI","2025-07-10","3690.000","3880.000","3680.000","3870.000","3870.000","3880.000","290117200","1104968730000"
"5938223","BBRI","2025-07-11","3920.000","3920.000","3870.000","3880.000","3870.000","3880.000","255634700","995601367000"
"5938717","BBRI","2025-07-14","3880.000","3890.000","3750.000","3780.000","3770.000","3780.000","167151400","632700983000"
"5940402","BBRI","2025-07-15","3800.000","3880.000","3780.000","3880.000","3870.000","3880.000","183209300","702734292000"
"5941074","BBRI","2025-07-16","3950.000","3960.000","3880.000","3880.000","3880.000","3890.000","241966800","949357500000"
"5942067","BBRI","2025-07-17","3930.000","3930.000","3880.000","3890.000","3890.000","3900.000","111359500","434697210000"
"5942709","BBRI","2025-07-18","3910.000","3940.000","3860.000","3860.000","3860.000","3870.000","111030000","432465193000"
"5943652","BBRI","2025-07-21","3890.000","3900.000","3830.000","3830.000","3830.000","3840.000","89765800","345327524000"
"5945093","BBRI","2025-07-22","3860.000","3880.000","3830.000","3840.000","3840.000","3850.000","84902800","326613412000"
"5945493","BBRI","2025-07-23","3840.000","3860.000","3790.000","3800.000","3800.000","3810.000","132305000","504998963000"
"5947165","BBRI","2025-07-24","3830.000","3950.000","3820.000","3950.000","3940.000","3950.000","206654200","809119430000"
"5947397","BBRI","2025-07-25","3950.000","3950.000","3870.000","3880.000","3880.000","3890.000","86263700","336220675000"
"5948930","BBRI","2025-07-28","3940.000","3950.000","3920.000","3940.000","3930.000","3940.000","94898300","373376888000"
"5949430","BBRI","2025-07-29","3930.000","3930.000","3900.000","3920.000","3910.000","3920.000","98887100","387036009000"
"5950164","BBRI","2025-07-30","3910.000","3910.000","3770.000","3780.000","3780.000","3790.000","206358500","788060391000"
"5951289","BBRI","2025-07-31","3780.000","3790.000","3700.000","3710.000","3710.000","3720.000","163371700","609331003000"
"5952665","BBRI","2025-08-01","3800.000","3800.000","3740.000","3740.000","3740.000","3750.000","134100500","505562516000"
"5953253","BBRI","2025-08-04","3720.000","3740.000","3690.000","3710.000","3700.000","3710.000","104446300","387665559000"
"5954646","BBRI","2025-08-05","3700.000","3790.000","3700.000","3740.000","3740.000","3750.000","184822600","692566127000"
"5955092","BBRI","2025-08-06","3770.000","3780.000","3710.000","3710.000","3710.000","3720.000","100168200","373618352000"
"5956479","BBRI","2025-08-07","3730.000","3750.000","3700.000","3710.000","3700.000","3710.000","92746000","344950665000"
"5957219","BBRI","2025-08-08","3710.000","3730.000","3700.000","3700.000","3700.000","3710.000","133180100","493983369000"
"5958583","BBRI","2025-08-11","3720.000","3810.000","3720.000","3810.000","3810.000","3820.000","143167900","541007518000"
"5959604","BBRI","2025-08-12","3860.000","4050.000","3830.000","4050.000","4040.000","4050.000","404797800","1605060986000"
"5960333","BBRI","2025-08-13","4060.000","4100.000","3990.000","4080.000","4070.000","4080.000","292104000","1183586832000"
"5960906","BBRI","2025-08-14","4080.000","4100.000","4040.000","4060.000","4060.000","4070.000","164408100","669335466000"
"5962405","BBRI","2025-08-15","4100.000","4150.000","4070.000","4120.000","4110.000","4120.000","269255400","1104608389000"
"5962635","BBRI","2025-08-19","4090.000","4100.000","4010.000","4040.000","4040.000","4050.000","208409700","843603355000"
"5964253","BBRI","2025-08-20","4050.000","4150.000","4050.000","4150.000","4150.000","4160.000","173260400","713434738000"
"5965025","BBRI","2025-08-21","4160.000","4170.000","4090.000","4150.000","4140.000","4150.000","112477700","464762274000"
"5965597","BBRI","2025-08-22","4170.000","4170.000","4100.000","4100.000","4100.000","4110.000","71971500","296966795000"
"5967121","BBRI","2025-08-25","4180.000","4270.000","4170.000","4210.000","4210.000","4220.000","195322200","824385462000"
"5967645","BBRI","2025-08-26","4220.000","4220.000","4170.000","4170.000","4170.000","4180.000","267465600","1117025364000"
"5968543","BBRI","2025-08-27","4130.000","4150.000","4070.000","4130.000","4120.000","4130.000","123874000","508484791000"
"5969805","BBRI","2025-08-28","4130.000","4150.000","4110.000","4140.000","4140.000","4150.000","60838200","251533585000"
"5970592","BBRI","2025-08-29","4100.000","4120.000","4020.000","4050.000","4050.000","4060.000","217276600","882534214000"
"5971526","BBRI","2025-09-01","3930.000","4010.000","3860.000","3980.000","3970.000","3980.000","234206100","923994207000"
"5972242","BBRI","2025-09-02","3980.000","4050.000","3960.000","3960.000","3960.000","3970.000","111856000","447650752000"
"5973799","BBRI","2025-09-03","4020.000","4030.000","3950.000","4030.000","4020.000","4030.000","112507500","449440348000"
"5974365","BBRI","2025-09-04","3980.000","4010.000","3960.000","4000.000","3990.000","4000.000","87402700","348932409000"
"5975189","BBRI","2025-09-08","4070.000","4070.000","3890.000","3900.000","3890.000","3900.000","143993900","571442078000"
"5976149","BBRI","2025-09-09","3870.000","3890.000","3750.000","3790.000","3790.000","3800.000","327167200","1247334590000"
"5977674","BBRI","2025-09-10","3820.000","3890.000","3820.000","3880.000","0.000","0.000","118789700","458964381000"
"5978705","BBRI","2025-09-11","4000.000","4120.000","3980.000","4080.000","4080.000","4090.000","281910400","1147841635000"
"5979577","BBRI","2025-09-12","4180.000","4190.000","4110.000","4180.000","4170.000","4180.000","235383800","978011108000"
"5979905","BBRI","2025-09-15","4200.000","4220.000","4120.000","4140.000","4140.000","4150.000","157482000","656280229000"
"5981067","BBRI","2025-09-16","4160.000","4170.000","4080.000","4130.000","4120.000","4130.000","167511900","689296090000"
"5982471","BBRI","2025-09-17","4160.000","4220.000","4120.000","4220.000","4210.000","4220.000","245154800","1024181336000"
"5983344","BBRI","2025-09-18","4270.000","4270.000","4210.000","4250.000","4240.000","4250.000","332670300","1410154614000"
"5984007","BBRI","2025-09-19","4230.000","4250.000","4180.000","4250.000","4240.000","4250.000","211373200","895084893000"
"5984669","BBRI","2025-09-22","4250.000","4250.000","4110.000","4160.000","4150.000","4160.000","157592800","655730119000"
"5985761","BBRI","2025-09-23","4120.000","4170.000","4110.000","4140.000","4140.000","4150.000","110771700","457935135000"
"5987222","BBRI","2025-09-24","4140.000","4170.000","4100.000","4170.000","4150.000","4170.000","124591600","515964479000"
"5987653","BBRI","2025-09-25","4170.000","4170.000","4050.000","4070.000","4060.000","4070.000","129656800","531045253000"
"5988660","BBRI","2025-09-26","4050.000","4080.000","4000.000","4040.000","4030.000","4040.000","146229200","588678782000"
"5989529","BBRI","2025-09-29","4040.000","4040.000","3960.000","3980.000","3980.000","3990.000","126611800","505542866000"
"5990485","BBRI","2025-09-30","3980.000","3980.000","3900.000","3900.000","3900.000","3910.000","217357100","852189684000"
"5991420","BBRI","2025-10-01","3860.000","3940.000","3800.000","3810.000","3810.000","3820.000","223133600","858080752000"
"5992352","BBRI","2025-10-02","3760.000","3790.000","3710.000","3710.000","3710.000","3720.000","379620000","1422839078000"
